category,openness,conscientiousness,extraversion,agreeableness,neuroticism,emotional_stability,analytical_index,social_index,leadership_index,creativity_index
Business Management and Finance,72.59,80.27,67.77,64.04,31.21,68.79,76.43,65.9,74.02,70.18
Creative Media and Design,86.58,66.2,55.98,60.9,37.12,62.88,76.39,58.44,61.09,71.28
Education and Research,78.58,82.11,60.01,78.81,29.92,70.08,80.35,69.41,71.06,69.29
Engineering and Architecture,73.61,86.67,43.29,58.31,28.61,71.39,80.14,50.8,64.98,58.45
Environmental Science,88.08,82.22,38.16,70.31,29.95,70.05,85.15,54.23,60.19,63.12
Healthcare and Medical,64.56,87.8,49.78,76.55,25.59,74.41,76.18,63.16,68.79,57.17
Law Government and Security,65.01,91.33,67.52,62.52,21.24,78.76,78.17,65.02,79.42,66.27
Social and Behavioral Sciences,79.91,72.25,58.51,92.03,33.42,66.58,76.08,75.27,65.38,69.21
Technology and IT,77.25,86.1,39.61,53.51,29.17,70.83,81.67,46.56,62.85,58.43
