,Business Management and Finance,Creative Media and Design,Education and Research,Engineering and Architecture,Environmental Science,Healthcare and Medical,Law Government and Security,Social and Behavioral Sciences,Technology and IT
Business Management and Finance,0.71,0.0625,0.028125,0.049375,0.0,0.0275,0.056875,0.000625,0.065
Creative Media and Design,0.068125,0.869375,0.000625,0.0175,0.003125,0.0,0.00125,0.0,0.04
Education and Research,0.033,0.005,0.681,0.005,0.022,0.107,0.01,0.048,0.089
Engineering and Architecture,0.03,0.0475,0.004166666666666667,0.5925,0.008333333333333333,0.058333333333333334,0.01,0.0016666666666666668,0.2475
Environmental Science,0.0,0.04,0.06,0.06,0.775,0.015,0.0,0.0,0.05
Healthcare and Medical,0.012777777777777779,0.0,0.05277777777777778,0.03,0.0,0.87,0.02,0.008888888888888889,0.005555555555555556
Law Government and Security,0.05416666666666667,0.0,0.0125,0.006666666666666667,0.0,0.028333333333333332,0.8966666666666666,0.0,0.0016666666666666668
Social and Behavioral Sciences,0.0025,0.005,0.0975,0.0,0.0,0.0525,0.0,0.8425,0.0
Technology and IT,0.0565,0.021,0.017,0.132,0.0025,0.011,0.001,0.0,0.759
