,Business Management and Finance,Creative Media and Design,Education and Research,Engineering and Architecture,Environmental Science,Healthcare and Medical,Law Government and Security,Social and Behavioral Sciences,Technology and IT
Business Management and Finance,1136,100,45,79,0,44,91,1,104
Creative Media and Design,109,1391,1,28,5,0,2,0,64
Education and Research,33,5,681,5,22,107,10,48,89
Engineering and Architecture,36,57,5,711,10,70,12,2,297
Environmental Science,0,8,12,12,155,3,0,0,10
Healthcare and Medical,23,0,95,54,0,1566,36,16,10
Law Government and Security,65,0,15,8,0,34,1076,0,2
Social and Behavioral Sciences,1,2,39,0,0,21,0,337,0
Technology and IT,113,42,34,264,5,22,2,0,1518
