threshold,accuracy,macro_f1,accuracy_change,macro_f1_change,engineering_to_technology,technology_to_engineering
0.5000000000000002,0.7843636363636364,0.7833107149141013,0.0015454545454545165,0.0003742902616127308,323,207
0.5200000000000002,0.7837272727272727,0.7833614984184344,0.0009090909090908594,0.0004250737659458048,299,238
0.5400000000000003,0.7832727272727272,0.7834803429521374,0.0004545454545453742,0.0005439182996488379,278,264
0.48000000000000015,0.7830909090909091,0.781480490034543,0.0002727272727272023,-0.0014559346179455757,360,184
0.5600000000000003,0.7828181818181819,0.7837964777258727,0.0,0.0008600530733841039,245,302
0.46000000000000013,0.7826363636363637,0.7803609831962051,-0.0001818181818181719,-0.0025754414562835226,390,159
0.5800000000000003,0.7815454545454545,0.7832302396406864,-0.0012727272727273142,0.0002938149881978047,225,336
0.6000000000000003,0.7810909090909091,0.7832170338294724,-0.0017272727272727995,0.0002806091769838037,205,361
0.4400000000000001,0.7809090909090909,0.7780560055905703,-0.0019090909090909713,-0.004880419061918273,428,140
0.4200000000000001,0.7804545454545454,0.7771225891032695,-0.0023636363636364566,-0.005813835549219104,448,125
0.6200000000000003,0.7802727272727272,0.7829701421105004,-0.0025454545454546285,3.371745801183934e-05,181,394
0.4000000000000001,0.7793636363636364,0.7753531178743519,-0.003454545454545488,-0.007583306778136678,478,107
0.6400000000000003,0.7787272727272727,0.7821672464849971,-0.004090909090909145,-0.0007691781674914466,159,433
0.38000000000000006,0.7777272727272727,0.7728639284595354,-0.005090909090909146,-0.01007249619295314,514,89
0.6600000000000004,0.7772727272727272,0.7813299111855969,-0.005545454545454631,-0.001606513466891668,142,466
0.36000000000000004,0.7744545454545455,0.7688832345520713,-0.008363636363636351,-0.014053190100417279,557,82
0.6800000000000004,0.7743636363636364,0.7794613257954658,-0.008454545454545492,-0.003475098857022796,123,517
0.34,0.7739090909090909,0.7671134025534315,-0.008909090909090978,-0.01582302209905706,587,58
0.7000000000000004,0.7719090909090909,0.7778364603485779,-0.01090909090909098,-0.005099964303910687,108,559
0.32,0.7712727272727272,0.7637660825151238,-0.011545454545454636,-0.019170342137364793,619,55
0.3,0.769090909090909,0.7604259441695292,-0.01372727272727281,-0.02251048048295934,654,44
